0.00000 0.00000
2.59262 0.99938 0
2.48069 -0.79854 1
4.43075 -0.90351 2
4.49533 0.92519 3
6.31908 0.74372 4
13.12234 -4.03545 5
6.10135 -1.00383 6
7.79407 0.58498 7
7.72903 -1.04794 8
9.44132 2.22261 9
9.10352 -1.13121 10
12.01014 -2.94767 11
9.25566 0.65243 12
8.00476 2.55121 13
6.45485 4.97312 14
6.36439 2.47839 15
4.48074 5.96626 16
0.49504 5.16052 17
-12.29708 -3.07848 18
2.70573 2.68882 19
4.53279 2.60184 20
-9.82487 -3.98590 21
-8.33988 8.06496 22
2.78412 -3.78552 23
5.25899 -3.09516 24
5.15920 -4.49576 25
-0.08780 -3.02820 26
-2.37435 -2.84345 27
0.30277 -4.30084 28
